B19013_001E,state,county,tract
132750,25,025,060501
12759,25,025,061101
84083,25,025,070101
28851,25,025,070402
52676,25,025,071101
53649,25,025,071201
60000,25,027,710400
103071,25,027,713100
79283,25,027,716100
68096,25,027,723100
92672,25,027,730902
25399,25,027,731400
35309,25,027,731600
82250,25,027,736100
93856,25,027,737300
91425,25,027,739300
63375,25,027,711000
97561,25,027,700100
78958,25,027,702200
72900,25,027,704200
98714,25,027,708100
18234,25,027,710700
73599,25,027,725100
80250,25,027,711100
107348,25,027,719100
89173,25,027,726100
66735,25,027,730200
55319,25,027,730300
41089,25,027,730500
20030,25,027,731800
56574,25,027,744300
29015,25,027,732500
95167,25,027,735200
81771,25,027,742300
71758,25,027,744400
70142,25,027,757400
71014,25,027,701100
50732,25,027,703300
44330,25,027,709400
50551,25,027,709600
37188,25,027,710800
68139,25,027,722100
103872,25,027,728400
80265,25,027,730600
31769,25,027,731900
19083,25,027,732001
57857,25,027,732202
32579,25,027,732700
73875,25,027,736300
84444,25,027,738100
126974,25,027,739500
112000,25,027,740200
124856,25,027,743100
80069,25,027,749200
71280,25,027,750100
59286,25,027,750300
40388,25,027,754200
60679,25,027,754400
72358,25,027,757500
-666666666,25,027,731202
89830,25,027,736200
84201,25,027,736400
76348,25,027,736500
118633,25,027,739400
95530,25,027,706100
68063,25,027,710300
71102,25,027,709100
43750,25,027,709202
62279,25,027,709702
54700,25,027,716200
54627,25,027,716300
56346,25,027,726200
108750,25,027,728100
77150,25,027,729200
53347,25,027,709701
80648,25,027,730100
65769,25,027,730700
82569,25,027,744200
74681,25,027,735100
36560,25,027,754300
79797,25,027,730802
104063,25,027,717100
43735,25,027,732600
72931,25,027,724100
40694,25,027,730401
64733,25,027,732002
94807,25,027,744101
84444,25,027,759100
34349,25,027,707200
52803,25,027,730402
113750,25,027,739100
64276,25,015,821400
95987,25,015,820900
73125,25,015,821700
76786,25,015,821901
93958,25,015,820202
50326,25,015,820500
52557,25,015,821601
80589,25,015,822200
89362,25,015,822401
93854,25,015,822500
64635,25,015,822700
86169,25,015,820203
69787,25,015,821000
117000,25,015,821200
115232,25,015,820204
-666666666,25,015,820802
54265,25,015,820801
54843,25,015,821100
19194,25,025,080401
15703,25,025,080601
87537,25,015,821300
40617,25,015,820102
2499,25,015,820400
67604,25,015,820700
53029,25,015,821602
70208,25,015,822000
44943,25,015,822300
55145,25,015,822402
65015,25,015,820101
83958,25,015,820600
45316,25,015,820300
64619,25,015,821500
124189,25,019,950400
106648,25,019,950500
99167,25,019,950100
86630,25,019,950200
114180,25,017,352500
56310,25,017,352700
79615,25,017,353400
92865,25,017,356601
121429,25,017,357100
73005,25,017,357700
130547,25,017,373400
111113,25,017,368101
84811,25,017,368400
107500,25,017,369100
65385,25,017,383200
123245,25,017,387100
96447,25,017,354300
146250,25,017,354700
124565,25,017,354800
175313,25,017,358100
188542,25,017,358500
90368,25,017,369000
86319,25,017,370102
108561,25,017,354500
93136,25,017,332400
90433,25,017,339100
54756,25,017,311500
70575,25,017,321200
102775,25,017,337202
84574,25,017,322200
45739,25,017,311800
